iter	Passed	Remaining
1662	650	310
1663	650	310
1664	651	310
1665	651	309
1666	652	309
1667	652	309
1668	652	308
1669	653	308
1670	653	307
1671	654	307
1672	654	307
1673	654	306
1674	655	306
1675	655	305
1676	656	305
1677	656	305
1678	657	304
1679	657	304
1680	657	304
1681	658	303
1682	658	303
1683	659	302
1684	659	302
1685	659	302
1686	660	301
1687	660	301
1688	660	300
1689	661	300
1690	662	300
1691	662	300
1692	663	299
1693	663	299
1694	664	299
1695	664	298
1696	665	298
1697	665	297
1698	665	297
1699	666	297
1700	666	296
1701	667	296
1702	667	296
1703	668	295
1704	668	295
1705	669	294
1706	669	294
1707	669	294
1708	670	293
1709	670	293
1710	671	292
1711	671	292
1712	671	292
1713	672	291
1714	672	291
1715	673	291
1716	673	290
1717	673	290
1718	674	289
1719	674	289
1720	675	289
1721	675	288
1722	676	288
1723	676	288
1724	676	287
1725	677	287
1726	677	286
1727	678	286
1728	678	286
1729	679	285
1730	679	285
1731	680	285
1732	680	284
1733	681	284
1734	681	283
1735	681	283
1736	682	283
1737	682	282
1738	682	282
1739	683	281
1740	683	281
1741	684	281
1742	684	280
1743	684	280
1744	685	279
1745	685	279
1746	685	279
1747	686	278
1748	686	278
1749	687	277
1750	687	277
1751	687	277
1752	688	276
1753	688	276
1754	688	275
1755	689	275
1756	689	275
1757	689	274
1758	690	274
1759	690	274
1760	691	273
1761	691	273
1762	692	272
1763	692	272
1764	693	272
1765	693	271
1766	694	271
1767	694	271
1768	694	270
1769	695	270
1770	695	269
1771	696	269
1772	696	269
1773	696	268
1774	697	268
1775	697	267
1776	697	267
1777	698	267
1778	698	266
1779	699	266
1780	699	265
1781	699	265
1782	700	265
1783	700	264
1784	700	264
1785	701	263
1786	701	263
1787	702	263
1788	702	262
1789	702	262
1790	703	261
1791	703	261
1792	703	261
1793	704	260
1794	704	260
1795	704	259
1796	705	259
1797	705	259
1798	706	258
1799	706	258
1800	707	257
1801	707	257
1802	707	257
1803	708	256
1804	708	256
1805	708	255
1806	709	255
1807	709	255
1808	710	254
1809	710	254
1810	710	253
1811	711	253
1812	711	253
1813	711	252
1814	712	252
1815	712	251
1816	713	251
1817	713	251
1818	713	250
1819	714	250
1820	714	249
1821	714	249
1822	715	249
1823	715	248
1824	715	248
1825	716	247
1826	716	247
1827	717	247
1828	717	246
1829	717	246
1830	718	245
1831	718	245
1832	718	245
1833	719	244
1834	719	244
1835	719	243
1836	720	243
1837	720	243
1838	721	242
1839	721	242
1840	721	241
1841	722	241
1842	722	241
1843	723	240
1844	723	240
1845	723	239
1846	724	239
1847	724	239
1848	724	238
1849	725	238
1850	725	237
1851	725	237
1852	726	237
1853	726	236
1854	727	236
1855	727	235
1856	727	235
1857	728	235
1858	728	234
1859	729	234
1860	729	233
1861	729	233
1862	730	233
1863	730	232
1864	730	232
1865	731	232
1866	731	231
1867	732	231
1868	732	230
1869	732	230
1870	733	230
1871	733	229
1872	733	229
1873	734	228
1874	734	228
1875	734	228
1876	735	227
1877	735	227
1878	736	226
1879	736	226
1880	737	226
1881	737	225
1882	738	225
1883	738	225
1884	739	224
1885	739	224
1886	740	223
1887	740	223
1888	740	223
1889	741	222
1890	741	222
1891	741	221
1892	742	221
1893	742	221
1894	743	220
1895	743	220
1896	743	219
1897	744	219
1898	744	219
1899	744	218
1900	745	218
1901	745	217
1902	746	217
1903	746	217
1904	746	216
1905	747	216
1906	747	215
1907	747	215
1908	748	215
1909	748	214
1910	748	214
1911	749	213
1912	749	213
1913	750	213
1914	750	212
1915	750	212
1916	751	211
1917	751	211
1918	752	211
1919	752	210
1920	752	210
1921	753	210
1922	753	209
1923	754	209
1924	754	208
1925	755	208
1926	755	208
1927	755	207
1928	756	207
1929	756	206
1930	757	206
1931	757	206
1932	757	205
1933	758	205
1934	758	205
1935	758	204
1936	759	204
1937	759	203
1938	760	203
1939	760	203
1940	760	202
1941	761	202
1942	761	201
1943	761	201
1944	762	201
1945	762	200
1946	762	200
1947	763	199
1948	763	199
1949	764	199
1950	764	198
1951	764	198
1952	765	197
1953	765	197
1954	765	197
1955	766	196
1956	766	196
1957	767	195
1958	767	195
1959	768	195
1960	768	194
1961	768	194
1962	769	193
1963	769	193
1964	769	193
1965	770	192
1966	770	192
1967	771	191
1968	771	191
1969	771	191
1970	772	190
1971	772	190
1972	772	189
1973	773	189
1974	773	189
1975	774	188
1976	774	188
1977	774	188
1978	775	187
1979	775	187
1980	775	186
1981	776	186
1982	776	186
1983	777	185
1984	777	185
1985	777	184
1986	778	184
1987	778	184
1988	779	183
1989	779	183
1990	779	182
1991	780	182
1992	780	182
1993	781	181
1994	781	181
1995	782	181
1996	782	180
1997	783	180
1998	783	179
1999	783	179
2000	784	179
2001	784	178
2002	785	178
2003	785	178
2004	786	177
2005	786	177
2006	786	176
